"","Satisfaccion_con_pisos","Satisfaccion_con_muros_y_techos","Satisfaccion_con_pintura_y_recubrimientos","Satisfaccion_con_iluminacion_natural","Satisfaccion_con_ventilacion_natural","Satisfaccion_con_proteccion_contra_exterior","Satisfaccion_con_tamano_de_dormitorios","Satisfaccion_con_tamano_de_banos","Satisfaccion_con_tamano_de_cocina","Satisfaccion_con_tamano_de_sala_comedor","Satisfaccion_con_tamano_de_patio","D1","IndiceSatisfaccion"
"143",4,4,4,4,4,4,4,4,4,4,3,-0.960784152677383,36.1610388817069
"144",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"145",5,4,4,4,5,5,5,5,5,5,5,0.799692818428242,83.5306324183294
"146",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"147",3,4,3,5,5,4,5,5,5,5,5,0.410714544148395,73.0642968458502
"148",4,3,2,2,2,2,5,5,5,5,5,-0.460330150259804,49.6268797119953
"149",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"150",2,4,4,5,5,5,5,5,5,5,5,0.65624764294123,79.670917256397
"151",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"152",5,5,5,4,5,5,5,5,5,5,5,1.20646317183558,94.4757039074229
"153",5,4,4,3,5,5,5,5,5,5,4,0.545990427949317,76.7041988361231
"154",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"155",4,5,3,5,5,4,4,4,5,4,3,-0.198764827369465,56.6648831803448
"156",3,4,4,5,5,4,4,4,4,4,4,-0.59545359715884,45.9910793795122
"157",5,5,4,5,5,5,5,4,4,5,5,0.766150191102733,82.6280925676877
"158",5,5,3,5,5,4,4,2,2,2,5,-0.335593426763945,52.9832018838088
"159",4,4,4,5,5,4,5,5,5,5,3,0.35788694836746,71.6428515326018
"160",4,4,4,5,5,4,5,5,5,5,3,0.35788694836746,71.6428515326018
"161",4,4,3,5,4,3,4,4,4,4,2,-0.919813841449357,37.2634372781606
"162",4,5,2,5,5,4,5,5,5,5,5,0.648908187973421,79.4734327085661
"163",5,5,5,4,4,5,5,5,5,5,5,0.999363110927747,88.9032108458109
"164",3,5,3,5,5,5,4,4,4,3,2,-0.361251697762182,52.2928083779649
"165",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"166",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"167",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"168",5,5,5,5,5,5,5,5,4,5,5,1.18816789895647,93.9834284308624
"169",5,5,5,5,5,5,5,5,3,4,4,0.681333011165244,80.3458955242136
"170",3,3,3,5,5,5,3,3,3,3,3,-0.925978625209596,37.0975599018832
"171",4,3,4,5,5,5,4,4,4,4,4,-0.388434115741833,51.56140426864
"172",5,5,5,4,4,5,5,5,5,5,5,0.999363110927747,88.9032108458109
"173",2,5,5,5,5,5,4,4,4,4,4,-0.0286130553859244,61.2431994041205
"174",4,4,4,5,5,5,5,5,5,5,5,0.797574529918853,83.4736351003696
"175",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"176",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"177",4,5,5,5,5,5,5,5,5,5,5,1.20434488332619,94.4187065894631
"178",4,4,4,4,5,5,5,5,5,5,5,0.592265695148467,77.9493390077924
"179",4,4,4,4,4,4,4,4,5,4,4,-0.700783953571156,43.1569291735112
"180",4,4,4,5,5,5,5,5,5,5,5,0.797574529918853,83.4736351003696
"181",5,5,5,5,3,5,4,4,4,4,5,0.221319687454125,67.9682021358466
"182",4,5,5,5,5,5,4,4,4,4,2,0.0763177401349618,64.0665985254263
"183",5,4,5,5,5,5,5,5,5,5,5,1.2003027741985,94.3099445496568
"184",5,4,5,5,5,5,5,3,3,4,5,0.34356313415507,71.2574370862492
"185",4,5,5,5,5,5,5,5,5,5,2,0.982579945501587,88.4516220221322
"186",3,3,5,5,5,3,4,5,5,5,2,0.0749498700855102,64.0297929043833
"187",4,3,4,5,5,5,4,4,3,4,2,-0.511865298382784,48.2402106106653
"188",5,5,5,5,5,5,2,5,5,5,5,1.02672583292922,89.6394664404816
"189",2,4,2,5,5,5,5,5,5,5,3,0.292269774490518,69.8772738473563
"190",5,2,2,4,4,5,5,3,5,5,5,-0.0247294079097491,61.347697676694
"191",3,4,3,4,5,2,4,4,4,4,4,-1.02090515115989,34.5433481604568
"192",3,3,3,3,5,4,3,3,3,3,3,-1.41754364781783,23.8708970713272
