"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"31690","4934_2",4,4,4,4,4,4,1,4,4,4,2,3,21.7831885904088,"Alta"
"31691","4934_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31692","4934_4",4,4,3,4,4,3,3,4,4,3,3,3,21.7631065578403,"Alta"
"31693","4935_1",4,4,4,4,4,2,1,2,4,2,4,4,19.7836361644543,"Alta"
"31694","4935_3",4,4,4,4,4,4,1,2,4,2,4,4,20.6737378371884,"Alta"
"31695","4935_5",4,4,3,2,4,2,4,4,4,4,4,3,22.5339570843895,"Muy Alta"
"31696","4936_1",1,4,4,4,3,2,3,4,4,4,4,2,20.3908553036288,"Alta"
"31697","4936_2",4,4,4,4,4,4,2,3,2,4,4,2,20.9731116888311,"Alta"
"31698","4936_4",1,2,2,3,3,2,4,4,2,4,4,1,14.7309866510548,"Baja"
"31699","4936_5",1,1,1,1,4,1,4,4,4,4,4,3,14.9076467745263,"Media"
"31700","4937_1",4,4,4,4,4,2,4,4,4,4,4,4,25.0309608154356,"Muy Alta"
"31701","4937_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31702","4937_5",4,4,4,4,4,4,1,4,4,4,4,2,22.86076950317,"Muy Alta"
"31703","4938_1",3,4,4,4,4,4,1,2,4,4,4,4,21.4401568414553,"Alta"
"31704","4938_2",4,4,4,4,4,2,3,4,2,3,3,3,20.5458572767692,"Alta"
"31705","4938_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31706","4938_4",4,4,4,4,4,3,2,1,4,4,4,1,20.1466909218712,"Alta"
"31707","4938_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31708","4939_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31709","4939_4",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"31710","4939_5",4,4,4,4,4,2,1,4,1,4,4,1,18.8446847406944,"Alta"
"31711","4940_1",4,4,4,4,2,3,2,4,4,2,3,1,18.9082854768111,"Alta"
"31712","4940_2",4,4,4,4,2,4,2,4,2,1,2,1,16.0518954677913,"Media"
"31713","4940_3",4,4,4,4,4,4,4,2,1,1,4,1,17.8848231747728,"Media"
"31714","4940_4",3,4,3,3,3,2,1,4,4,4,4,3,19.5090694789406,"Alta"
"31715","4940_5",4,4,2,2,2,2,1,4,2,3,2,1,12.9987456984819,"Baja"
"31716","4941_1",4,4,1,4,4,2,4,4,4,4,4,4,22.0769801597425,"Alta"
"31717","4941_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31718","4941_3",1,4,4,3,4,2,2,3,2,3,3,1,15.2735004732081,"Media"
"31719","4941_5",4,4,4,3,4,3,2,2,4,2,4,2,19.4294402007629,"Alta"
"31720","4942_2",2,4,4,4,3,3,2,1,1,3,2,2,13.4620994645706,"Baja"
"31721","4942_3",1,4,4,4,4,4,1,4,1,2,3,3,16.1477421855592,"Media"
"31722","4942_4",4,4,3,4,3,3,2,1,1,2,1,1,11.9511006737889,"Baja"
"31723","4942_5",4,4,4,4,4,4,2,3,4,3,4,1,21.4788310789422,"Alta"
"31724","4943_1",3,3,3,4,4,4,3,4,1,1,1,2,14.4259716643803,"Baja"
"31725","4943_2",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"31726","4943_3",3,4,4,4,4,4,2,4,4,4,4,2,22.7992677492406,"Muy Alta"
"31727","4943_4",1,4,4,4,4,4,4,4,4,4,4,4,23.6576544310596,"Muy Alta"
"31728","4943_5",4,4,4,4,4,4,4,4,2,4,4,4,24.1642038249014,"Muy Alta"
"31729","4944_1",4,4,4,4,4,4,4,4,4,4,3,4,25.1369244843697,"Muy Alta"
"31730","4945_1",4,3,4,4,1,1,3,2,3,1,2,2,13.6163928945246,"Baja"
"31731","4945_2",4,4,4,4,4,4,2,2,4,2,2,2,18.8170392383514,"Alta"
"31732","4945_3",4,4,4,4,4,1,1,2,2,4,1,1,15.2781157255392,"Media"
"31733","4945_4",4,4,4,4,2,2,4,4,4,4,4,4,23.626281482279,"Muy Alta"
"31734","4945_5",4,4,4,4,4,4,4,2,4,2,1,1,18.9281413365938,"Alta"
"31735","4946_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31736","4946_2",4,4,3,4,4,4,4,4,4,4,4,4,24.9364022696054,"Muy Alta"
"31737","4946_3",4,4,4,4,4,4,4,3,4,4,4,4,25.0972957386586,"Muy Alta"
"31738","4946_4",4,4,4,4,4,4,4,4,1,4,4,4,23.2857744932672,"Muy Alta"
"31739","4947_1",3,4,4,4,3,3,3,3,4,4,4,3,22.0117731900636,"Alta"
"31740","4947_2",3,4,4,4,4,4,1,1,4,4,4,2,19.6349999022664,"Alta"
"31741","4947_3",3,4,4,4,4,4,3,4,4,2,2,3,20.8937660782832,"Alta"
"31742","4947_4",4,4,4,4,4,3,4,4,4,4,4,2,24.494621462125,"Muy Alta"
"31743","4947_5",2,3,3,3,3,2,1,3,4,3,2,1,13.8081540779845,"Baja"
"31744","4948_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31745","4948_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31746","4948_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31747","4949_2",4,4,3,4,4,3,4,4,4,4,4,2,23.5099612435606,"Muy Alta"
"31748","4949_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31749","4949_4",2,4,4,4,4,4,4,4,4,4,3,2,22.6465955899519,"Muy Alta"
"31750","4950_1",3,4,4,4,4,3,4,4,4,4,4,4,24.7215422994327,"Muy Alta"
"31751","4950_2",4,4,4,4,4,4,4,1,3,1,4,1,18.81791508853,"Alta"
"31752","4950_3",3,4,4,4,4,2,1,4,4,4,4,4,22.1975886677436,"Muy Alta"
"31753","4950_4",2,4,3,3,2,2,3,4,4,4,4,3,19.4381956568735,"Alta"
"31754","4950_5",4,4,4,4,3,4,3,4,4,4,3,4,23.7416172193507,"Muy Alta"
"31755","4951_1",4,4,4,4,4,4,2,2,3,2,3,1,18.2320528156783,"Media"
"31756","4951_2",2,4,2,4,4,1,1,1,1,2,3,3,11.1264383431658,"Baja"
"31757","4951_3",1,1,4,4,4,2,3,3,4,3,3,3,16.7778343629804,"Media"
"31758","4951_4",4,4,2,3,3,1,2,3,4,2,3,3,16.3980022648717,"Media"
"31759","4951_5",4,2,4,4,4,2,2,2,4,2,4,2,17.87007572626,"Media"
"31760","4952_1",4,4,4,4,4,4,1,1,4,4,1,1,17.5463601483976,"Media"
"31761","4952_2",4,4,4,3,4,2,4,4,4,4,4,4,24.5201366066142,"Muy Alta"
"31762","4952_3",4,4,4,4,2,1,3,3,4,4,2,4,20.09622029036,"Alta"
"31763","4952_4",3,4,4,4,4,4,2,2,4,4,2,4,20.564848432296,"Alta"
