uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4480_10_2,4480_10,4480,10,2,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,284,4480,329
4480_14_1,4480_14,4480,14,1,1,1,NA,4,4,NA,5,1,1,NA,NA,1,1,NA,17,3,284,4480,329
4481_9_1,4481_9,4481,9,1,1,2,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,3,283,4481,176
4481_12_1,4481_12,4481,12,1,1,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4481,176
4481_12_2,4481_12,4481,12,2,1,1,2,2,2,NA,5,NA,1,NA,NA,9,2,1,17,3,283,4481,176
4481_12_2,4481_12,4481,12,2,2,2,NA,2,2,NA,5,NA,1,NA,NA,9,2,1,17,3,283,4481,176
4481_12_3,4481_12,4481,12,3,1,1,NA,2,2,NA,5,NA,1,NA,NA,9,2,5,17,3,283,4481,176
4481_14_1,4481_14,4481,14,1,1,2,NA,3,4,NA,5,1,1,NA,NA,9,2,1,17,3,283,4481,176
4481_14_2,4481_14,4481,14,2,1,1,NA,3,4,NA,5,1,1,NA,NA,9,1,NA,17,3,283,4481,176
4481_17_1,4481_17,4481,17,1,1,1,NA,2,4,NA,8,1,1,NA,NA,1,2,2,17,3,283,4481,176
4482_8_2,4482_8,4482,8,2,1,2,NA,4,4,NA,5,1,1,NA,NA,3,1,NA,17,3,283,4482,291
4482_14_1,4482_14,4482,14,1,1,2,NA,3,4,NA,5,1,1,NA,NA,9,2,1,17,3,283,4482,291
4482_20_1,4482_20,4482,20,1,1,2,3,2,3,NA,5,NA,2,NA,NA,1,2,1,17,3,283,4482,291
4482_20_1,4482_20,4482,20,1,2,3,NA,2,3,NA,5,NA,4,NA,NA,1,2,1,17,3,283,4482,291
4483_5_1,4483_5,4483,5,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,280,4483,295
