uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
7859_4_1,7859_4,7859,4,1,1,1,NA,2,3,NA,5,NA,1,NA,NA,3,2,9,31,1,528,7859,417
7861_5_1,7861_5,7861,5,1,1,1,NA,2,2,NA,5,NA,1,NA,NA,3,2,1,31,1,528,7861,343
7862_1_1,7862_1,7862,1,1,1,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7862,245
7862_1_3,7862_1,7862,1,3,1,1,NA,1,2,NA,5,NA,2,NA,NA,3,2,8,31,1,528,7862,245
7863_2_1,7863_2,7863,2,1,1,2,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7863,404
7863_5_1,7863_5,7863,5,1,1,3,NA,3,3,NA,3,NA,4,NA,NA,1,2,2,31,1,528,7863,404
7864_4_1,7864_4,7864,4,1,1,1,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,31,1,528,7864,444
7865_2_1,7865_2,7865,2,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,31,1,528,7865,341
7866_5_1,7866_5,7866,5,1,1,2,NA,2,2,NA,5,NA,3,NA,NA,3,1,NA,31,1,527,7866,357
7868_3_1,7868_3,7868,3,1,1,1,NA,3,3,NA,3,NA,2,7,NA,3,2,5,31,1,527,7868,304
7869_2_1,7869_2,7869,2,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7869,340
7869_4_1,7869_4,7869,4,1,1,3,NA,3,2,NA,5,NA,9,NA,NA,9,2,5,31,1,528,7869,340
7869_4_1,7869_4,7869,4,1,2,4,NA,3,2,NA,5,NA,9,NA,NA,9,2,8,31,1,528,7869,340
7872_2_1,7872_2,7872,2,1,1,2,NA,1,3,NA,5,NA,1,NA,NA,2,2,2,31,1,527,7872,406
7874_1_1,7874_1,7874,1,1,1,3,NA,1,4,NA,5,1,4,NA,NA,1,1,NA,31,1,527,7874,300
7875_1_1,7875_1,7875,1,1,1,4,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,31,1,527,7875,282
7875_2_2,7875_2,7875,2,2,1,1,NA,2,3,NA,5,NA,1,4,NA,1,2,1,31,1,527,7875,282
7875_5_2,7875_5,7875,5,2,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7875,282
7877_4_1,7877_4,7877,4,1,1,1,NA,2,4,NA,5,1,1,NA,NA,2,1,NA,31,1,528,7877,386
7879_2_1,7879_2,7879,2,1,1,3,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,31,1,527,7879,318
7881_2_1,7881_2,7881,2,1,1,2,NA,2,2,NA,3,NA,7,NA,NA,9,1,NA,31,1,527,7881,292
7883_1_1,7883_1,7883,1,1,1,3,NA,1,2,NA,5,NA,1,2,4,4,1,NA,31,1,528,7883,387
7883_1_1,7883_1,7883,1,1,2,4,NA,2,2,NA,5,NA,1,2,6,4,1,NA,31,1,528,7883,387
7883_5_1,7883_5,7883,5,1,1,3,NA,2,2,NA,5,NA,1,2,NA,3,2,1,31,1,528,7883,387
7884_3_1,7884_3,7884,3,1,1,2,NA,2,3,NA,5,NA,1,2,NA,2,2,1,31,1,528,7884,441
7884_5_2,7884_5,7884,5,2,1,2,NA,1,4,NA,5,1,1,2,7,1,2,4,31,1,528,7884,441
7885_4_1,7885_4,7885,4,1,1,1,2,2,3,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,7885,365
7886_3_1,7886_3,7886,3,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7886,435
7886_5_1,7886_5,7886,5,1,1,1,NA,1,4,NA,4,2,NA,NA,NA,NA,NA,NA,31,1,527,7886,435
7888_2_1,7888_2,7888,2,1,1,2,NA,2,2,NA,5,NA,2,4,NA,5,2,1,31,1,528,7888,415
7889_3_1,7889_3,7889,3,1,1,3,NA,2,3,NA,5,NA,2,NA,NA,9,2,1,31,1,528,7889,297
7891_2_1,7891_2,7891,2,1,1,1,NA,4,4,NA,5,1,1,NA,NA,2,2,1,31,1,528,7891,438
7892_4_1,7892_4,7892,4,1,1,1,NA,2,3,NA,1,NA,4,NA,NA,2,2,1,31,1,529,7892,447
7893_1_1,7893_1,7893,1,1,1,2,NA,2,4,NA,5,1,1,NA,NA,2,2,8,31,1,528,7893,507
7893_5_1,7893_5,7893,5,1,1,1,NA,2,4,NA,5,1,2,NA,NA,3,1,NA,31,1,528,7893,507
7897_2_1,7897_2,7897,2,1,1,1,2,2,4,NA,5,1,1,NA,NA,2,1,NA,31,1,528,7897,371
7898_1_1,7898_1,7898,1,1,1,1,NA,3,3,NA,1,NA,1,4,NA,5,2,1,31,1,529,7898,351
7899_5_1,7899_5,7899,5,1,1,1,NA,2,2,NA,1,NA,4,NA,NA,4,1,NA,31,1,528,7899,307
7899_5_2,7899_5,7899,5,2,1,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,31,1,528,7899,307
7900_4_1,7900_4,7900,4,1,1,2,NA,2,2,NA,1,NA,2,NA,NA,5,2,1,31,1,529,7900,334
7903_3_1,7903_3,7903,3,1,1,4,NA,2,2,NA,5,NA,1,2,NA,1,2,1,31,1,527,7903,427
7905_1_2,7905_1,7905,1,2,1,2,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,31,1,527,7905,387
7906_1_1,7906_1,7906,1,1,1,4,NA,2,4,NA,5,1,1,NA,NA,1,2,2,31,1,527,7906,426
7909_4_1,7909_4,7909,4,1,1,1,NA,3,2,NA,8,NA,2,NA,NA,3,1,NA,31,1,528,7909,321
7910_2_1,7910_2,7910,2,1,1,3,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,31,1,527,7910,379
7910_5_1,7910_5,7910,5,1,1,1,NA,2,2,NA,5,NA,2,NA,NA,2,1,NA,31,1,527,7910,379
7910_5_1,7910_5,7910,5,1,2,4,NA,2,2,NA,2,NA,2,NA,NA,2,1,NA,31,1,527,7910,379
7911_2_1,7911_2,7911,2,1,1,3,NA,1,3,NA,5,NA,2,NA,NA,2,2,2,31,1,527,7911,302
7913_2_1,7913_2,7913,2,1,1,3,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,1,528,7913,319
7913_2_1,7913_2,7913,2,1,2,5,NA,2,2,NA,6,NA,1,4,NA,3,2,2,31,1,528,7913,319
7913_3_1,7913_3,7913,3,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,3,2,2,31,1,528,7913,319
7913_5_1,7913_5,7913,5,1,1,3,NA,1,4,NA,5,1,1,2,NA,2,2,8,31,1,528,7913,319
7914_1_1,7914_1,7914,1,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7914,317
7914_2_1,7914_2,7914,2,1,1,2,NA,3,3,NA,2,NA,2,NA,NA,2,1,NA,31,1,528,7914,317
7915_1_1,7915_1,7915,1,1,1,1,NA,2,2,NA,1,NA,2,NA,NA,3,1,NA,31,1,528,7915,384
7915_1_2,7915_1,7915,1,2,1,1,2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,31,1,528,7915,384
7916_3_1,7916_3,7916,3,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7916,402
7916_5_1,7916_5,7916,5,1,1,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7916,402
7917_3_1,7917_3,7917,3,1,1,2,NA,3,3,NA,4,NA,2,NA,NA,4,2,1,31,1,528,7917,479
7917_3_1,7917_3,7917,3,1,2,1,NA,3,4,NA,3,1,1,NA,NA,4,2,2,31,1,528,7917,479
7917_4_1,7917_4,7917,4,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,1,528,7917,479
7917_4_1,7917_4,7917,4,1,2,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,1,528,7917,479
7919_5_1,7919_5,7919,5,1,1,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,31,1,527,7919,326
7920_1_1,7920_1,7920,1,1,1,3,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,31,1,528,7920,362
7923_5_1,7923_5,7923,5,1,1,1,NA,2,4,NA,5,1,1,2,4,2,2,1,31,1,528,7923,377
7925_2_1,7925_2,7925,2,1,1,1,2,2,4,NA,5,1,5,NA,NA,3,2,2,31,1,527,7925,330
7925_3_1,7925_3,7925,3,1,1,4,NA,2,2,NA,5,NA,2,NA,NA,2,2,8,31,1,527,7925,330
7925_5_1,7925_5,7925,5,1,1,3,NA,2,3,NA,5,NA,2,NA,NA,2,2,2,31,1,527,7925,330
7926_4_1,7926_4,7926,4,1,1,1,NA,2,3,NA,5,NA,1,NA,NA,3,1,NA,31,1,528,7926,457
7927_1_1,7927_1,7927,1,1,1,6,NA,1,4,NA,5,1,1,NA,NA,1,1,NA,31,1,528,7927,385
7928_2_1,7928_2,7928,2,1,1,1,3,2,2,NA,2,NA,2,NA,NA,3,2,1,31,1,527,7928,300
7928_2_1,7928_2,7928,2,1,2,3,NA,2,2,NA,2,NA,2,NA,NA,3,2,1,31,1,527,7928,300
7929_1_1,7929_1,7929,1,1,1,2,3,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7929,235
7929_1_1,7929_1,7929,1,1,2,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7929,235
7929_1_1,7929_1,7929,1,1,3,6,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7929,235
7929_2_1,7929_2,7929,2,1,1,3,NA,3,4,NA,5,1,1,NA,NA,2,1,NA,31,1,527,7929,235
7929_3_1,7929_3,7929,3,1,1,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,31,1,527,7929,235
7930_3_1,7930_3,7930,3,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,7930,267
7932_2_1,7932_2,7932,2,1,1,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7932,365
7933_3_2,7933_3,7933,3,2,1,2,NA,2,4,NA,5,1,1,NA,NA,3,2,2,31,1,527,7933,333
7933_5_1,7933_5,7933,5,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7933,333
7933_5_1,7933_5,7933,5,1,2,4,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7933,333
7933_5_1,7933_5,7933,5,1,3,5,NA,2,2,NA,5,NA,2,NA,NA,1,2,1,31,1,527,7933,333
7934_1_1,7934_1,7934,1,1,1,1,NA,2,3,NA,5,NA,2,NA,NA,1,2,2,31,1,528,7934,388
7934_5_1,7934_5,7934,5,1,1,2,NA,2,4,NA,5,1,2,NA,NA,1,2,1,31,1,528,7934,388
7935_3_1,7935_3,7935,3,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,2,1,NA,31,1,528,7935,353
7935_5_1,7935_5,7935,5,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,9,31,1,528,7935,353
7935_5_1,7935_5,7935,5,1,2,4,NA,2,2,NA,5,NA,2,NA,NA,2,2,9,31,1,528,7935,353
7937_3_1,7937_3,7937,3,1,1,3,NA,2,2,NA,5,NA,7,NA,NA,3,2,9,31,1,527,7937,371
7941_5_1,7941_5,7941,5,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,7941,270
7942_1_1,7942_1,7942,1,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,3,2,1,31,1,527,7942,419
7943_2_1,7943_2,7943,2,1,1,4,NA,2,3,NA,7,NA,2,NA,NA,2,1,NA,31,1,526,7943,288
7943_3_1,7943_3,7943,3,1,1,4,NA,2,2,NA,5,NA,2,NA,NA,3,1,NA,31,1,526,7943,288
7943_5_1,7943_5,7943,5,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,31,1,526,7943,288
7944_5_1,7944_5,7944,5,1,1,3,NA,3,2,NA,5,NA,1,4,NA,3,1,NA,31,1,529,7944,444
7948_3_1,7948_3,7948,3,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,7948,354
7948_4_1,7948_4,7948,4,1,1,1,NA,1,2,NA,5,NA,1,NA,NA,2,2,2,31,1,527,7948,354
7950_3_1,7950_3,7950,3,1,1,1,NA,9,4,NA,1,2,NA,NA,NA,NA,NA,NA,31,1,528,7950,398
7950_5_1,7950_5,7950,5,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,528,7950,398
7952_1_1,7952_1,7952,1,1,1,1,NA,2,3,NA,5,NA,3,NA,NA,3,1,NA,31,1,529,7952,385
7954_4_1,7954_4,7954,4,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,529,7954,395
7955_5_1,7955_5,7955,5,1,1,1,NA,2,3,NA,5,NA,1,NA,NA,9,2,9,31,1,528,7955,375
7957_5_1,7957_5,7957,5,1,1,2,NA,3,2,NA,1,NA,2,NA,NA,3,2,1,31,1,527,7957,375
7958_1_1,7958_1,7958,1,1,1,4,NA,2,2,NA,5,NA,2,NA,NA,4,2,1,31,1,528,7958,371
7958_4_1,7958_4,7958,4,1,1,3,5,2,2,NA,5,NA,1,NA,NA,1,2,5,31,1,528,7958,371
7959_2_2,7959_2,7959,2,2,1,2,NA,3,2,NA,5,NA,2,NA,NA,2,2,2,31,1,527,7959,334
7959_3_1,7959_3,7959,3,1,1,1,NA,2,4,NA,5,1,1,NA,NA,3,2,5,31,1,527,7959,334
7960_3_1,7960_3,7960,3,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7960,368
7961_1_1,7961_1,7961,1,1,1,2,NA,3,2,NA,5,NA,1,NA,NA,5,1,NA,31,1,529,7961,429
7961_3_1,7961_3,7961,3,1,1,1,NA,2,4,NA,1,1,1,2,7,4,2,1,31,1,529,7961,429
7963_4_1,7963_4,7963,4,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7963,355
7965_1_1,7965_1,7965,1,1,1,1,NA,3,2,NA,8,NA,2,NA,NA,3,2,1,31,1,528,7965,363
7967_3_1,7967_3,7967,3,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,4,1,NA,31,1,529,7967,535
7967_4_1,7967_4,7967,4,1,1,1,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,31,1,529,7967,535
7969_3_2,7969_3,7969,3,2,1,1,2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,31,1,529,7969,337
7971_3_1,7971_3,7971,3,1,1,1,NA,4,2,NA,1,NA,1,4,NA,5,1,NA,31,1,529,7971,324
7972_1_1,7972_1,7972,1,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,3,2,1,31,1,529,7972,496
7972_5_1,7972_5,7972,5,1,1,2,1,3,4,NA,2,1,1,2,NA,5,1,NA,31,1,529,7972,496
7973_2_1,7973_2,7973,2,1,1,3,NA,3,4,NA,5,1,1,2,NA,4,2,1,31,1,529,7973,376
7973_4_1,7973_4,7973,4,1,1,3,NA,3,2,NA,5,NA,1,2,NA,9,2,9,31,1,529,7973,376
7975_2_1,7975_2,7975,2,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,2,2,1,31,1,528,7975,344
7975_4_1,7975_4,7975,4,1,1,1,NA,5,2,NA,2,NA,2,NA,NA,9,2,2,31,1,528,7975,344
7976_4_1,7976_4,7976,4,1,1,3,NA,2,3,NA,5,NA,2,NA,NA,2,2,1,31,1,529,7976,348
7978_3_1,7978_3,7978,3,1,1,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,31,1,529,7978,575
7980_2_1,7980_2,7980,2,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,527,7980,331
7981_3_1,7981_3,7981,3,1,1,3,NA,2,3,NA,5,NA,1,4,NA,2,2,1,31,1,529,7981,330
7981_3_1,7981_3,7981,3,1,2,4,NA,2,3,NA,5,NA,1,4,NA,2,2,2,31,1,529,7981,330
7981_5_1,7981_5,7981,5,1,1,1,NA,2,2,NA,5,NA,3,NA,NA,3,2,1,31,1,529,7981,330
7982_5_1,7982_5,7982,5,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,526,7982,385
7983_5_1,7983_5,7983,5,1,1,2,NA,3,4,NA,5,1,1,2,4,5,1,NA,31,1,529,7983,438
7984_1_1,7984_1,7984,1,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,31,1,529,7984,436
7984_1_1,7984_1,7984,1,1,2,1,NA,2,2,NA,1,NA,1,NA,NA,2,2,1,31,1,529,7984,436
7984_2_1,7984_2,7984,2,1,1,1,2,1,4,NA,1,1,4,6,NA,4,2,1,31,1,529,7984,436
7984_3_1,7984_3,7984,3,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,5,1,NA,31,1,529,7984,436
7985_2_1,7985_2,7985,2,1,1,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,31,1,529,7985,455
7985_4_1,7985_4,7985,4,1,1,4,NA,2,3,NA,5,NA,4,NA,NA,1,1,NA,31,1,529,7985,455
7991_5_1,7991_5,7991,5,1,1,1,NA,2,3,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,7991,345
7992_3_1,7992_3,7992,3,1,1,2,1,2,4,NA,5,1,1,4,NA,1,2,2,31,1,529,7992,490
7992_4_1,7992_4,7992,4,1,1,1,NA,2,4,NA,5,1,1,4,NA,3,2,1,31,1,529,7992,490
7992_4_1,7992_4,7992,4,1,2,3,NA,2,4,NA,5,1,1,4,NA,3,2,1,31,1,529,7992,490
7993_2_1,7993_2,7993,2,1,1,1,NA,2,3,NA,5,NA,1,2,4,2,2,1,31,1,529,7993,359
7994_1_1,7994_1,7994,1,1,1,1,2,2,2,NA,5,NA,2,NA,NA,9,1,NA,31,1,527,7994,414
7994_2_1,7994_2,7994,2,1,1,1,NA,2,3,NA,2,NA,1,NA,NA,9,2,9,31,1,527,7994,414
7996_4_1,7996_4,7996,4,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,3,2,1,31,1,529,7996,494
7997_1_1,7997_1,7997,1,1,1,1,NA,3,2,NA,5,NA,2,NA,NA,4,2,2,31,1,527,7997,305
7998_2_1,7998_2,7998,2,1,1,4,NA,3,2,NA,5,NA,2,NA,NA,2,2,1,31,1,527,7998,401
7998_4_1,7998_4,7998,4,1,1,1,NA,3,3,NA,5,NA,2,4,NA,3,1,NA,31,1,527,7998,401
8000_1_1,8000_1,8000,1,1,1,1,2,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,1,526,8000,725
8000_2_1,8000_2,8000,2,1,1,1,NA,2,4,NA,5,1,1,3,NA,1,1,NA,31,1,526,8000,725
8003_5_1,8003_5,8003,5,1,1,1,NA,2,2,NA,5,NA,2,NA,NA,3,2,1,31,1,526,8003,741
8004_4_1,8004_4,8004,4,1,1,1,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,31,1,527,8004,422
8005_3_1,8005_3,8005,3,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,3,31,1,528,8005,398
8007_5_1,8007_5,8007,5,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,1,529,8007,458
8009_2_2,8009_2,8009,2,2,1,1,NA,5,4,NA,5,1,1,NA,NA,3,2,3,31,1,527,8009,144
8009_2_3,8009_2,8009,2,3,1,1,NA,4,4,NA,5,1,4,NA,NA,4,2,1,31,1,527,8009,144
8009_4_1,8009_4,8009,4,1,1,15,NA,2,4,NA,5,1,1,NA,NA,2,2,2,31,1,527,8009,144
8009_5_1,8009_5,8009,5,1,1,4,NA,2,2,NA,5,NA,2,NA,NA,3,1,NA,31,1,527,8009,144
8009_5_1,8009_5,8009,5,1,2,7,NA,2,2,NA,5,NA,2,NA,NA,2,1,NA,31,1,527,8009,144
8010_1_1,8010_1,8010,1,1,1,1,NA,3,3,NA,1,NA,1,4,7,3,1,NA,31,1,529,8010,474
8010_4_1,8010_4,8010,4,1,1,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,529,8010,474
8014_3_1,8014_3,8014,3,1,1,3,NA,2,2,NA,5,NA,9,NA,NA,9,2,9,31,2,534,8014,371
8014_6_1,8014_6,8014,6,1,1,1,NA,1,4,NA,5,1,1,NA,NA,1,1,NA,31,2,534,8014,371
8014_7_1,8014_7,8014,7,1,1,2,NA,1,4,NA,1,2,NA,NA,NA,NA,NA,NA,31,2,534,8014,371
8014_10_1,8014_10,8014,10,1,1,3,NA,3,4,NA,5,1,4,NA,NA,1,1,NA,31,2,534,8014,371
8014_12_1,8014_12,8014,12,1,1,1,2,2,4,NA,5,1,1,6,7,2,2,1,31,2,534,8014,371
8014_13_1,8014_13,8014,13,1,1,1,NA,2,4,NA,5,1,1,NA,NA,9,2,1,31,2,534,8014,371
8014_18_1,8014_18,8014,18,1,1,1,NA,2,4,NA,1,1,1,NA,NA,1,1,NA,31,2,534,8014,371
8014_20_1,8014_20,8014,20,1,1,1,NA,2,4,NA,9,1,4,NA,NA,1,1,NA,31,2,534,8014,371
8015_8_1,8015_8,8015,8,1,1,2,3,1,4,NA,5,1,1,NA,NA,9,2,9,31,2,534,8015,524
8015_10_1,8015_10,8015,10,1,1,1,2,2,4,NA,3,1,1,NA,NA,1,1,NA,31,2,534,8015,524
8015_12_1,8015_12,8015,12,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,2,534,8015,524
8016_1_1,8016_1,8016,1,1,1,2,NA,1,4,NA,5,1,1,NA,NA,1,2,9,31,2,535,8016,180
8016_3_1,8016_3,8016,3,1,1,5,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,2,535,8016,180
8016_4_1,8016_4,8016,4,1,1,3,NA,3,4,NA,5,1,1,NA,NA,1,2,3,31,2,535,8016,180
8016_9_1,8016_9,8016,9,1,1,2,NA,1,4,NA,5,1,1,6,NA,1,1,NA,31,2,535,8016,180
8016_15_1,8016_15,8016,15,1,1,4,3,3,4,NA,5,1,1,NA,NA,2,1,NA,31,2,535,8016,180
8016_17_1,8016_17,8016,17,1,1,1,NA,3,2,NA,4,NA,2,NA,NA,3,1,NA,31,2,535,8016,180
8016_18_1,8016_18,8016,18,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,2,535,8016,180
8018_3_1,8018_3,8018,3,1,1,5,NA,3,2,NA,5,NA,2,NA,NA,1,2,1,31,2,531,8018,346
8019_2_1,8019_2,8019,2,1,1,1,2,2,3,NA,5,NA,2,NA,NA,3,1,NA,31,2,532,8019,299
8020_1_1,8020_1,8020,1,1,1,1,NA,2,2,NA,3,NA,2,NA,NA,3,1,NA,31,2,531,8020,498
8020_3_1,8020_3,8020,3,1,1,1,NA,2,2,NA,2,NA,2,NA,NA,1,2,1,31,2,531,8020,498
8020_4_1,8020_4,8020,4,1,1,2,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,531,8020,498
8021_3_1,8021_3,8021,3,1,1,1,NA,2,3,NA,5,NA,1,2,NA,1,2,2,31,2,531,8021,275
8021_4_1,8021_4,8021,4,1,1,5,NA,2,4,NA,5,1,1,6,NA,1,1,NA,31,2,531,8021,275
8021_4_1,8021_4,8021,4,1,2,3,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,31,2,531,8021,275
8021_4_1,8021_4,8021,4,1,3,2,NA,2,3,NA,5,NA,2,NA,NA,1,2,1,31,2,531,8021,275
8021_5_1,8021_5,8021,5,1,1,3,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,31,2,531,8021,275
8022_3_1,8022_3,8022,3,1,1,5,NA,2,3,NA,5,NA,1,2,5,2,1,NA,31,2,531,8022,266
8024_2_1,8024_2,8024,2,1,1,1,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,31,2,531,8024,392
8024_5_1,8024_5,8024,5,1,1,1,NA,2,4,NA,3,1,1,4,NA,2,2,1,31,2,531,8024,392
8027_1_1,8027_1,8027,1,1,1,1,NA,2,2,NA,2,NA,2,NA,NA,2,2,2,31,2,531,8027,438
8028_3_1,8028_3,8028,3,1,1,4,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,31,2,532,8028,257
8029_3_1,8029_3,8029,3,1,1,3,NA,2,2,NA,5,NA,1,2,6,2,1,NA,31,2,531,8029,344
8030_5_1,8030_5,8030,5,1,1,1,2,2,3,NA,3,NA,1,NA,NA,2,2,8,31,2,531,8030,423
8031_2_1,8031_2,8031,2,1,1,1,2,2,3,NA,5,NA,2,NA,NA,2,1,NA,31,2,530,8031,868
8032_1_1,8032_1,8032,1,1,1,1,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,2,531,8032,313
8032_3_1,8032_3,8032,3,1,1,1,NA,3,2,NA,1,NA,2,NA,NA,2,2,2,31,2,531,8032,313
8032_4_1,8032_4,8032,4,1,1,1,NA,2,2,NA,2,NA,1,2,NA,2,2,1,31,2,531,8032,313
8033_12_2,8033_12,8033,12,2,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,2,535,8033,352
8033_12_3,8033_12,8033,12,3,1,1,NA,6,3,NA,5,NA,2,NA,NA,4,2,9,31,2,535,8033,352
8033_18_1,8033_18,8033,18,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,31,2,535,8033,352
8034_4_1,8034_4,8034,4,1,1,2,NA,1,4,NA,1,1,1,NA,NA,1,1,NA,31,2,535,8034,291
8034_8_1,8034_8,8034,8,1,1,2,NA,1,4,NA,5,1,1,5,7,1,2,1,31,2,535,8034,291
8034_17_1,8034_17,8034,17,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,31,2,535,8034,291
8034_18_1,8034_18,8034,18,1,1,4,3,2,4,NA,5,1,1,NA,NA,1,1,NA,31,2,535,8034,291
8036_2_1,8036_2,8036,2,1,1,2,NA,2,4,NA,5,1,1,2,NA,3,2,2,31,2,531,8036,391
8036_4_1,8036_4,8036,4,1,1,1,NA,2,3,NA,5,NA,4,NA,NA,3,1,NA,31,2,531,8036,391
8037_5_1,8037_5,8037,5,1,1,1,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,31,2,531,8037,263
8038_4_1,8038_4,8038,4,1,1,2,NA,2,3,NA,1,NA,2,NA,NA,3,2,1,31,2,531,8038,318
8038_5_1,8038_5,8038,5,1,1,3,NA,2,2,NA,5,NA,1,NA,NA,1,1,NA,31,2,531,8038,318
8038_5_1,8038_5,8038,5,1,2,1,NA,2,4,NA,7,2,NA,NA,NA,NA,NA,NA,31,2,531,8038,318
8039_5_1,8039_5,8039,5,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,9,2,1,31,2,531,8039,387
8040_2_1,8040_2,8040,2,1,1,2,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,531,8040,348
8040_2_1,8040_2,8040,2,1,2,3,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,531,8040,348
8040_3_1,8040_3,8040,3,1,1,1,NA,2,3,NA,1,NA,4,6,NA,1,2,2,31,2,531,8040,348
8040_4_1,8040_4,8040,4,1,1,3,NA,2,2,NA,5,NA,1,2,NA,1,2,2,31,2,531,8040,348
