vid,ingreso_viv,mes_info,mes_fov,mes_insp,mes_fp,mes_onl,mes_fa,gas_tot,prop_gasto
1045_15,16000,NA,NA,NA,NA,NA,NA,0,0
1045_16,7200,NA,NA,NA,NA,NA,NA,0,0
1045_17,14400,NA,NA,NA,NA,NA,NA,0,0
1045_18,15200,NA,NA,NA,NA,NA,NA,0,0
1045_19,6000,NA,NA,NA,NA,NA,NA,0,0
1045_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1045_20,3600,NA,NA,NA,NA,NA,NA,0,0
1045_5,4400,NA,NA,NA,NA,NA,NA,0,0
1045_8,10760,NA,NA,NA,NA,NA,NA,0,0
1045_9,8000,NA,NA,NA,NA,NA,NA,0,0
1046_1,6200,NA,NA,NA,NA,NA,NA,0,0
1046_10,9920,NA,NA,NA,NA,NA,NA,0,0
1046_11,11000,NA,NA,NA,NA,NA,NA,0,0
1046_12,8000,NA,NA,NA,NA,NA,NA,0,0
1046_13,15000,NA,NA,NA,NA,NA,NA,0,0
1046_14,15000,NA,NA,NA,NA,NA,NA,0,0
1046_16,5400,969.6629213483146,NA,NA,NA,NA,NA,969.6629213483146,0.1795672076570953
1046_17,14400,NA,NA,NA,NA,NA,NA,0,0
1046_18,3600,NA,NA,NA,NA,NA,NA,0,0
1046_2,46000,NA,NA,NA,NA,NA,NA,0,0
1046_20,3600,NA,NA,NA,NA,NA,NA,0,0
1046_3,6800,NA,NA,NA,NA,NA,NA,0,0
1046_4,20000,NA,NA,NA,NA,NA,NA,0,0
1046_5,4000,NA,NA,NA,NA,NA,NA,0,0
1046_6,18000,NA,NA,NA,NA,NA,NA,0,0
1046_7,27000,NA,NA,NA,NA,NA,NA,0,0
1046_8,7600,NA,NA,NA,NA,NA,NA,0,0
1046_9,10000,NA,NA,NA,NA,NA,NA,0,0
1047_10,9000,NA,NA,NA,NA,NA,NA,0,0
1047_11,9800,NA,NA,NA,NA,NA,NA,0,0
1047_12,8400,NA,NA,NA,NA,NA,NA,0,0
1047_13,13200,NA,NA,NA,NA,NA,NA,0,0
1047_14,9200,NA,NA,NA,NA,NA,NA,0,0
1047_15,1800,NA,NA,NA,NA,NA,NA,0,0
1047_16,6000,NA,NA,NA,NA,NA,NA,0,0
1047_19,13200,NA,NA,NA,NA,NA,NA,0,0
1047_2,6400,NA,NA,NA,NA,NA,NA,0,0
1047_20,6400,NA,NA,NA,NA,NA,NA,0,0
1047_3,14400,NA,NA,NA,NA,NA,NA,0,0
1047_4,600,NA,NA,NA,NA,NA,NA,0,0
1047_5,3200,NA,NA,NA,NA,NA,NA,0,0
1047_6,10400,NA,NA,NA,NA,NA,NA,0,0
1047_7,4400,NA,NA,NA,NA,NA,NA,0,0
1047_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1047_9,6000,NA,NA,NA,NA,NA,NA,0,0
1048_1,4800,NA,NA,NA,NA,NA,NA,0,0
1048_10,15600,NA,NA,NA,NA,NA,NA,0,0
1048_11,7000,NA,NA,NA,NA,NA,NA,0,0
1048_12,8600,NA,NA,NA,NA,NA,NA,0,0
1048_13,3600,NA,NA,NA,NA,NA,NA,0,0
1048_14,NA,NA,NA,NA,NA,NA,NA,0,NA
1048_15,3360,NA,NA,NA,NA,NA,NA,0,0
1048_16,2400,NA,NA,NA,NA,NA,NA,0,0
1048_17,4000,NA,NA,NA,NA,NA,NA,0,0
1048_18,10000,NA,NA,NA,NA,NA,NA,0,0
1048_19,9200,NA,NA,NA,NA,NA,NA,0,0
1048_2,5800,NA,NA,NA,NA,NA,NA,0,0
1048_20,3600,NA,NA,NA,NA,NA,NA,0,0
1048_3,14720,NA,NA,NA,NA,NA,NA,0,0
1048_4,3000,NA,NA,NA,NA,NA,NA,0,0
1048_5,10200,NA,NA,NA,NA,NA,NA,0,0
1048_6,10800,NA,NA,NA,NA,NA,NA,0,0
