vid,estr_acc,estr_habit,estr_serv,estr_ubi,estr_aseq,estr_cul,estr_ten,estr_satis
1635_3,Media,Baja,Muy Alta,Muy Alta,Alta,Baja,Media,Media
1635_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1636_1,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1636_2,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
1636_3,Muy Alta,Media,Muy Alta,Muy baja,Muy Alta,Alta,Muy Alta,Alta
1636_5,Baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1637_1,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
1637_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Media,Baja
1637_3,Baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
1637_5,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1638_1,Muy baja,Baja,Media,Baja,Muy Alta,Baja,Muy baja,NA
1638_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Muy baja
1638_3,Media,Media,Muy Alta,Media,Baja,Baja,Media,Muy Alta
1638_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1639_1,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
1639_3,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Muy baja
1639_4,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1639_5,Media,Media,Muy Alta,Media,Muy Alta,Alta,Media,Media
1640_2,Media,Media,Muy Alta,Baja,NA,Baja,Baja,NA
1640_3,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
1640_5,Baja,Media,Muy Alta,Alta,NA,Baja,Media,Baja
1641_1,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1641_2,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1641_3,Muy baja,Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Muy baja
1641_4,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1641_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1642_1,Baja,Media,Muy Alta,Alta,NA,Baja,Muy Alta,Alta
1642_2,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1642_3,Media,Media,Muy Alta,Baja,NA,Alta,Muy baja,NA
1642_4,Muy Alta,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1642_5,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1643_1,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1643_2,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Baja
1643_3,Media,Media,Muy Alta,Media,NA,Baja,Muy baja,NA
1643_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Media,Muy baja
1643_5,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
1644_2,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1644_3,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1644_4,Muy Alta,Alta,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
1644_5,Media,Media,Muy Alta,Muy Alta,NA,Baja,Baja,NA
1645_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Muy baja
1645_4,Muy Alta,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
1645_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1646_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1646_2,Media,Media,Muy Alta,Alta,Media,Alta,Media,Alta
1646_3,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
1647_2,Media,Media,Muy Alta,Media,NA,Baja,Muy Alta,Baja
1647_3,Media,Media,Muy Alta,Media,Media,Baja,Media,Muy baja
1647_4,Muy baja,Media,Muy Alta,Muy Alta,Alta,Alta,Media,Muy baja
1648_2,Muy baja,Media,Muy Alta,Muy Alta,Baja,Alta,Muy Alta,Muy baja
1648_3,Baja,Muy Alta,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1648_4,Muy baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
1648_5,Media,Baja,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
