uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
255_8_1,255_8,255,8,1,2,1,NA,4,3,2,NA,2,NA,1,2,8,255,202
255_8_1,255_8,255,8,1,1,1,NA,3,1,2,NA,2,NA,1,2,8,255,202
263_15_1,263_15,263,15,1,1,1,NA,2,3,2,NA,2,NA,1,3,9,263,216
268_13_1,268_13,268,13,1,1,1,NA,4,1,2,NA,2,NA,1,3,10,268,231
276_6_1,276_6,276,6,1,1,1,NA,3,3,2,NA,2,NA,1,4,11,276,184
279_16_1,279_16,279,16,1,1,2,NA,8,3,2,NA,2,NA,1,4,11,279,197
284_14_1,284_14,284,14,1,1,2,1,5,1,2,NA,2,NA,1,4,11,284,222
284_14_1,284_14,284,14,1,2,2,1,5,1,2,NA,2,NA,1,4,11,284,222
285_16_1,285_16,285,16,1,1,2,NA,3,1,1,3500,2,NA,1,4,11,285,231
286_18_1,286_18,286,18,1,1,1,NA,6,1,2,NA,2,NA,1,4,11,286,176
293_4_1,293_4,293,4,1,1,1,NA,6,1,2,NA,1,14000,1,1,2,293,192
304_5_1,304_5,304,5,1,1,1,NA,2,1,2,NA,2,NA,1,1,2,304,827
327_4_1,327_4,327,4,1,1,1,NA,5,3,2,NA,2,NA,2,1,23,327,632
439_5_1,439_5,439,5,1,1,1,NA,4,1,2,NA,2,NA,2,1,14,439,547
440_1_1,440_1,440,1,1,1,1,NA,6,1,2,NA,2,NA,2,1,13,440,486
440_1_1,440_1,440,1,1,2,1,NA,3,1,2,NA,2,NA,2,1,13,440,486
474_1_1,474_1,474,1,1,1,1,NA,4,1,2,NA,2,NA,2,1,13,474,634
474_1_1,474_1,474,1,1,2,1,NA,9,1,2,NA,1,80000,2,1,13,474,634
537_2_1,537_2,537,2,1,1,2,NA,8,1,2,NA,2,NA,2,1,13,537,537
537_2_1,537_2,537,2,1,4,2,NA,4,1,2,NA,1,20000,2,1,13,537,537
537_2_1,537_2,537,2,1,3,2,NA,5,1,2,NA,2,NA,2,1,13,537,537
537_2_1,537_2,537,2,1,2,2,NA,5,1,2,NA,2,NA,2,1,13,537,537
539_4_1,539_4,539,4,1,1,1,NA,2,3,2,NA,2,NA,2,1,12,539,863
543_2_1,543_2,543,2,1,1,1,NA,2,1,2,NA,2,NA,2,1,12,543,571
545_4_1,545_4,545,4,1,1,1,NA,4,1,2,NA,2,NA,2,1,14,545,526
573_4_1,573_4,573,4,1,1,1,NA,3,1,2,NA,1,50000,2,1,14,573,623
584_6_1,584_6,584,6,1,1,1,NA,4,1,1,4000,2,NA,2,2,26,584,387
588_6_1,588_6,588,6,1,1,4,NA,6,1,2,NA,2,NA,2,2,25,588,606
588_6_1,588_6,588,6,1,2,3,NA,6,3,1,150000,2,NA,2,2,25,588,606
602_17_1,602_17,602,17,1,1,1,NA,4,1,2,NA,2,NA,2,3,27,602,428
606_6_1,606_6,606,6,1,7,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,6,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,5,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,4,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,1,1,NA,2,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,2,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
606_6_1,606_6,606,6,1,3,1,NA,1,1,2,NA,2,NA,2,3,27,606,782
618_10_1,618_10,618,10,1,1,1,NA,8,2,1,100000,2,NA,2,4,30,618,854
637_4_1,637_4,637,4,1,1,2,NA,3,1,2,NA,2,NA,2,2,26,637,2650
655_2_1,655_2,655,2,1,1,3,NA,3,1,1,999999999,1,999999999,3,1,32,655,95
668_5_1,668_5,668,5,1,1,2,NA,3,1,2,NA,2,NA,3,1,33,668,112
673_2_1,673_2,673,2,1,1,1,NA,2,1,2,NA,2,NA,3,1,33,673,105
673_2_1,673_2,673,2,1,2,1,NA,1,1,1,15000,2,NA,3,1,33,673,105
675_3_1,675_3,675,3,1,1,1,NA,4,1,2,NA,2,NA,3,1,33,675,123
681_4_1,681_4,681,4,1,1,1,NA,5,1,2,NA,2,NA,3,1,33,681,102
715_3_1,715_3,715,3,1,1,1,NA,5,1,2,NA,2,NA,3,1,33,715,130
750_4_1,750_4,750,4,1,1,1,NA,6,1,2,NA,2,NA,3,1,33,750,128
770_4_1,770_4,770,4,1,1,2,NA,4,3,2,NA,2,NA,3,1,31,770,110
776_19_1,776_19,776,19,1,1,1,NA,6,1,1,50000,2,NA,3,2,36,776,146
776_19_1,776_19,776,19,1,2,2,NA,6,1,1,50000,2,NA,3,2,36,776,146
779_13_1,779_13,779,13,1,1,1,NA,1,3,2,NA,2,NA,3,2,34,779,124
781_20_1,781_20,781,20,1,1,2,NA,3,3,2,NA,2,NA,3,2,34,781,127
782_9_1,782_9,782,9,1,1,2,NA,4,1,2,NA,2,NA,3,2,36,782,154
