...1,...2,vid,EST_DIS,UPM_DIS,FACTOR,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,p2distance.3,estratos...stratumID...
9644,9644,2314_1,135,2314,1323,4,4,3,4,4,4,4,3,4,4,3,22.344966308898886,Media
9645,9645,2314_2,135,2314,1323,3,4,5,5,5,5,5,5,5,5,5,28.5560741987658,Muy Alta
9646,9646,2314_3,135,2314,1323,3,4,4,5,5,5,5,5,5,5,5,27.983019210955963,Alta
9647,9647,2314_5,135,2314,1323,5,5,5,5,5,5,5,5,5,5,4,30.573872081867332,Muy Alta
9648,9648,2315_3,137,2315,2108,5,2,2,2,2,2,2,2,2,2,2,12.43327208194334,Muy baja
9649,9649,2316_2,136,2316,1796,5,5,5,5,5,5,5,5,5,5,5,31.383924608499413,Muy Alta
9650,9650,2316_4,136,2316,1796,4,4,5,5,5,5,5,5,5,5,5,29.948592551695622,Muy Alta
9651,9651,2316_5,136,2316,1796,5,5,3,5,5,5,5,5,5,5,4,30.237814632879743,Muy Alta
9652,9652,2317_2,136,2317,1720,4,4,4,5,5,5,4,4,5,5,5,28.09415090846658,Alta
9653,9653,2317_5,136,2317,1720,4,3,5,5,5,5,3,3,2,3,2,22.836523233112402,Media
9654,9654,2318_4,135,2318,1897,2,2,2,5,5,4,3,4,3,4,2,20.659642248246655,Baja
9655,9655,2318_5,135,2318,1897,5,5,4,5,5,4,5,5,3,4,2,27.8358168598747,Alta
9656,9656,2319_1,136,2319,1762,5,5,5,5,5,5,5,5,5,5,5,31.325696731320786,Muy Alta
9657,9657,2319_4,136,2319,1762,5,5,5,5,5,5,5,5,5,5,5,31.325696731320786,Muy Alta
9658,9658,2319_5,136,2319,1762,5,5,4,5,5,5,5,5,5,5,5,30.75264174351095,Muy Alta
9659,9659,2320_2,135,2320,1789,5,5,5,5,5,5,3,5,3,4,4,27.823350849000096,Alta
9660,9660,2321_5,136,2321,1482,5,5,4,5,5,5,5,5,5,5,5,30.273118049098727,Muy Alta
9661,9661,2323_2,136,2323,2168,5,5,4,3,5,5,5,5,5,5,2,30.00317307700412,Muy Alta
9662,9662,2323_5,136,2323,2168,3,4,4,5,5,5,5,5,5,5,2,29.430153217307144,Muy Alta
9663,9663,2325_1,136,2325,1694,3,3,3,4,4,3,4,4,4,4,4,21.378280506126433,Baja
