uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
43_1_1,43_1,43,1,1,1,2,NA,NA,2,2,1,1,2,43,226
43_2_1,43_2,43,2,1,1,2,NA,NA,1,2,1,1,2,43,226
43_3_1,43_3,43,3,1,1,1,1,NA,1,2,1,1,2,43,226
43_4_1,43_4,43,4,1,1,1,1,NA,1,2,1,1,2,43,226
44_1_1,44_1,44,1,1,1,2,NA,NA,1,2,1,1,2,44,212
44_2_1,44_2,44,2,1,2,2,NA,NA,2,2,1,1,2,44,212
44_4_1,44_4,44,4,1,2,2,NA,NA,2,2,1,1,2,44,212
45_1_1,45_1,45,1,1,1,2,NA,NA,1,2,1,1,2,45,187
45_2_1,45_2,45,2,1,1,2,NA,NA,1,2,1,1,2,45,187
45_3_1,45_3,45,3,1,4,2,NA,NA,1,2,1,1,2,45,187
45_4_1,45_4,45,4,1,1,2,NA,NA,1,2,1,1,2,45,187
45_5_1,45_5,45,5,1,1,2,NA,NA,1,2,1,1,2,45,187
46_1_1,46_1,46,1,1,1,2,NA,NA,1,1,1,1,2,46,212
46_2_1,46_2,46,2,1,2,2,NA,NA,2,2,1,1,2,46,212
46_3_1,46_3,46,3,1,1,2,NA,NA,1,2,1,1,2,46,212
46_4_1,46_4,46,4,1,1,2,NA,NA,1,1,1,1,2,46,212
47_2_1,47_2,47,2,1,2,2,NA,NA,2,2,1,1,2,47,188
47_3_1,47_3,47,3,1,1,2,NA,NA,1,2,1,1,2,47,188
47_4_1,47_4,47,4,1,2,2,NA,NA,2,2,1,1,2,47,188
47_5_1,47_5,47,5,1,1,2,NA,NA,1,2,1,1,2,47,188
48_1_1,48_1,48,1,1,2,2,NA,NA,2,2,1,1,1,48,320
48_3_1,48_3,48,3,1,1,2,NA,NA,1,2,1,1,1,48,320
