"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"33448","7340_20",475,7340,610,2,1,2,3,1,1,2,2,3,4,1
"33449","7341_2",475,7341,438,3,1,3,1,1,1,1,1,1,1,1
"33450","7341_3",475,7341,438,1,1,4,1,1,2,1,1,1,2,1
"33451","7341_5",475,7341,438,2,2,4,4,3,3,3,4,3,3,3
"33452","7341_6",475,7341,438,3,3,3,1,1,2,2,1,1,1,3
"33453","7341_7",475,7341,438,3,2,4,2,1,2,1,1,3,4,4
"33454","7341_8",475,7341,438,3,4,3,1,1,3,4,4,4,4,1
"33455","7341_9",475,7341,438,1,1,2,1,1,1,1,1,2,1,1
"33456","7341_10",475,7341,438,2,2,1,1,1,1,1,3,1,1,1
"33457","7341_12",475,7341,438,3,2,4,2,1,2,1,3,1,2,1
"33458","7341_15",475,7341,438,1,2,3,3,1,3,1,3,1,1,1
"33459","7341_17",475,7341,438,2,2,3,3,3,3,1,1,3,2,1
"33460","7341_18",475,7341,438,2,3,3,1,1,2,1,3,1,3,1
"33461","7342_1",475,7342,471,4,4,4,4,4,3,3,3,3,3,1
"33462","7342_3",475,7342,471,1,1,1,1,1,1,1,1,1,1,1
"33463","7342_5",475,7342,471,1,3,4,1,1,2,1,1,3,1,1
"33464","7342_6",475,7342,471,2,2,3,1,1,3,1,4,1,1,1
"33465","7342_7",475,7342,471,3,3,2,2,1,2,2,2,3,2,3
"33466","7342_12",475,7342,471,1,3,3,2,2,4,2,2,2,4,1
"33467","7342_14",475,7342,471,1,2,3,1,1,1,1,1,1,1,1
"33468","7342_19",475,7342,471,4,4,4,2,2,4,2,2,2,2,1
"33469","7343_1",475,7343,512,1,2,2,1,2,1,2,2,2,2,2
"33470","7343_2",475,7343,512,1,2,1,1,1,2,1,1,2,4,1
"33471","7343_3",475,7343,512,1,1,1,2,2,1,1,2,2,4,1
"33472","7343_4",475,7343,512,3,3,4,2,2,3,3,3,3,4,2
"33473","7343_5",475,7343,512,2,2,2,1,1,1,3,2,3,2,1
"33474","7343_6",475,7343,512,1,3,1,1,1,1,1,2,1,1,1
"33475","7343_8",475,7343,512,3,2,4,1,1,2,1,4,2,4,1
"33476","7343_9",475,7343,512,1,1,1,1,1,1,1,1,4,4,1
"33477","7343_10",475,7343,512,1,1,4,1,1,2,1,2,1,4,1
"33478","7343_11",475,7343,512,3,2,3,1,1,3,4,2,4,4,1
"33479","7343_12",475,7343,512,1,1,1,1,3,1,1,1,1,1,1
"33480","7343_13",475,7343,512,2,2,1,1,1,1,1,1,1,3,1
"33481","7343_14",475,7343,512,2,1,2,1,1,1,1,1,1,1,1
"33482","7343_15",475,7343,512,3,2,4,1,1,1,1,4,3,4,1
"33483","7343_16",475,7343,512,2,2,2,2,2,2,2,2,2,2,1
"33484","7343_17",475,7343,512,1,1,4,1,1,1,1,2,1,1,1
"33485","7343_18",475,7343,512,2,2,3,1,1,2,2,2,2,2,1
"33486","7343_19",475,7343,512,3,3,1,1,3,2,2,2,2,2,1
"33487","7343_20",475,7343,512,2,2,4,1,1,2,1,2,1,4,1
"33488","7344_1",475,7344,472,4,4,4,4,4,4,3,3,3,4,1
"33489","7344_2",475,7344,472,1,3,3,3,3,2,3,2,4,4,1
"33490","7344_3",475,7344,472,1,2,2,1,1,4,4,2,4,4,1
"33491","7344_4",475,7344,472,2,1,3,2,2,1,4,4,4,4,1
"33492","7344_5",475,7344,472,2,1,2,1,1,1,2,2,1,4,1
"33493","7344_8",475,7344,472,4,4,4,2,1,2,3,4,3,4,1
"33494","7344_11",475,7344,472,1,1,1,1,1,1,1,1,1,2,1
"33495","7344_13",475,7344,472,3,3,2,2,2,2,3,2,1,2,2
"33496","7344_14",475,7344,472,2,2,2,2,2,2,1,2,3,3,1
"33497","7344_15",475,7344,472,4,4,4,2,2,2,4,4,4,4,2
"33498","7344_17",475,7344,472,4,4,4,2,1,4,2,2,2,4,1
"33499","7344_20",475,7344,472,4,4,4,1,1,1,3,3,3,4,1
"33500","7345_1",475,7345,569,1,3,3,1,1,2,2,1,1,1,1
"33501","7345_2",475,7345,569,1,1,4,1,1,1,1,1,1,1,1
"33502","7345_3",475,7345,569,2,1,1,2,2,2,2,3,4,4,1
"33503","7345_4",475,7345,569,3,2,2,1,1,1,1,2,1,4,1
"33504","7345_5",475,7345,569,1,1,1,1,1,1,1,1,1,2,1
"33505","7345_6",475,7345,569,3,2,2,1,1,1,1,1,1,4,1
"33506","7345_7",475,7345,569,3,2,3,2,2,1,1,3,3,1,1
"33507","7345_9",475,7345,569,1,1,2,1,1,1,2,2,2,1,1
"33508","7345_10",475,7345,569,2,2,4,2,3,2,1,4,1,2,1
"33509","7345_14",475,7345,569,1,1,1,1,1,1,1,1,1,1,1
"33510","7345_16",475,7345,569,2,1,2,1,1,3,3,2,4,3,1
"33511","7345_17",475,7345,569,2,1,2,2,1,1,1,1,1,1,1
"33512","7345_18",475,7345,569,1,1,1,1,1,1,1,1,1,1,1
"33513","7345_20",475,7345,569,2,3,3,1,1,2,3,3,3,3,1
"33514","7346_4",476,7346,717,2,2,2,1,1,1,1,1,1,1,1
"33515","7346_6",476,7346,717,1,1,1,1,1,1,1,1,1,1,1
"33516","7346_9",476,7346,717,3,3,4,4,3,3,1,2,2,2,2
"33517","7346_10",476,7346,717,4,2,2,3,2,2,1,3,3,2,1
"33518","7346_12",476,7346,717,2,2,1,1,1,1,2,1,3,4,1
"33519","7346_14",476,7346,717,1,2,2,1,1,1,1,1,1,1,1
"33520","7346_16",476,7346,717,3,4,4,3,1,4,4,4,4,4,1
"33521","7346_17",476,7346,717,4,4,4,4,4,4,4,4,4,4,4
"33522","7346_19",476,7346,717,1,1,1,1,1,1,1,1,3,3,1
"33523","7346_20",476,7346,717,1,1,1,2,1,2,3,4,3,3,2
"33524","7347_1",476,7347,698,1,1,1,1,1,1,1,1,1,1,1
"33525","7347_2",476,7347,698,3,3,2,1,1,1,1,1,1,1,1
"33526","7347_3",476,7347,698,2,2,1,2,2,2,2,4,2,2,4
"33527","7347_4",476,7347,698,2,2,4,1,1,1,1,1,1,1,1
"33528","7347_6",476,7347,698,4,4,1,1,1,2,1,1,1,1,1
"33529","7347_7",476,7347,698,2,2,3,1,1,2,2,3,1,1,3
"33530","7347_10",476,7347,698,1,1,1,1,1,1,1,1,1,2,1
"33531","7347_11",476,7347,698,3,3,4,3,4,3,1,4,3,3,1
"33532","7347_12",476,7347,698,2,2,1,1,1,2,1,2,2,1,1
"33533","7347_13",476,7347,698,3,3,4,1,1,2,2,3,3,2,1
"33534","7347_14",476,7347,698,1,1,1,1,1,1,1,1,1,1,1
"33535","7347_15",476,7347,698,1,2,1,1,1,3,1,1,3,1,1
"33536","7347_17",476,7347,698,1,2,1,1,1,1,1,1,1,1,1
"33537","7347_19",476,7347,698,2,4,2,2,2,2,4,4,2,2,1
"33538","7347_20",476,7347,698,3,1,2,1,1,1,1,2,1,1,1
"33539","7348_2",454,7348,1756,4,4,4,4,4,2,4,4,4,4,4
"33540","7348_3",454,7348,1756,3,3,2,2,2,1,2,2,2,2,2
"33541","7349_3",462,7349,226,3,2,2,1,1,3,2,3,2,4,1
"33542","7349_4",462,7349,226,4,4,4,3,3,4,4,4,4,4,2
"33543","7349_5",462,7349,226,4,3,4,4,3,3,3,4,4,4,1
"33544","7350_1",462,7350,669,2,2,1,1,1,2,2,2,2,2,2
"33545","7350_2",462,7350,669,3,3,3,1,1,4,4,4,4,1,4
"33546","7350_4",462,7350,669,3,1,3,1,1,1,3,3,3,3,2
"33547","7350_5",462,7350,669,1,1,1,1,1,1,1,1,1,1,1
"33548","7351_4",459,7351,1552,4,4,2,1,3,3,2,3,4,3,4
"33549","7352_1",459,7352,754,3,2,2,2,2,2,3,3,3,4,4
"33550","7352_3",459,7352,754,3,3,3,2,2,2,2,2,2,2,3
"33551","7352_4",459,7352,754,1,2,2,1,1,1,2,2,1,1,1
"33552","7352_5",459,7352,754,1,1,1,1,1,1,1,1,2,3,3
"33553","7354_2",459,7354,832,4,4,4,3,3,4,4,4,4,4,3
"33554","7354_4",459,7354,832,2,2,2,1,1,3,2,2,2,2,1
"33555","7355_1",459,7355,879,2,2,2,1,1,2,2,2,3,3,2
"33556","7355_4",459,7355,879,4,2,4,1,1,4,1,1,3,4,2
"33557","7355_5",459,7355,879,2,3,2,4,2,2,4,4,4,4,4
"33558","7356_2",468,7356,229,1,1,3,1,1,1,1,1,1,1,3
"33559","7356_3",468,7356,229,1,1,2,1,1,1,1,4,1,1,1
"33560","7356_4",468,7356,229,1,1,1,1,1,1,1,1,1,1,1
"33561","7356_5",468,7356,229,2,2,4,1,2,2,1,3,4,4,2
"33562","7357_1",468,7357,726,3,2,3,1,1,1,3,2,4,2,2
"33563","7357_2",468,7357,726,4,4,4,4,4,4,4,4,4,4,2
"33564","7357_3",468,7357,726,3,1,3,2,2,2,2,1,3,3,2
"33565","7357_4",468,7357,726,2,1,4,2,2,2,2,3,4,4,2
"33566","7357_5",468,7357,726,2,2,3,1,2,3,3,3,3,3,3
"33567","7358_4",468,7358,1341,3,3,3,2,2,2,3,3,2,3,4
"33568","7358_5",468,7358,1341,4,3,3,3,2,4,3,2,3,3,3
"33569","7359_1",454,7359,1468,2,2,1,1,1,1,1,1,1,1,4
"33570","7359_2",454,7359,1468,1,2,2,1,1,1,1,1,1,1,4
"33571","7360_4",454,7360,1660,2,3,3,1,2,2,3,3,2,3,3
"33572","7360_5",454,7360,1660,2,2,2,2,1,1,1,1,1,1,4
"33573","7361_2",462,7361,122,3,2,2,1,1,1,4,4,4,4,1
"33574","7364_1",459,7364,658,1,1,1,1,1,1,2,2,3,1,3
"33575","7364_2",459,7364,658,1,1,1,1,1,1,2,1,2,1,4
"33576","7364_4",459,7364,658,1,3,1,1,1,1,1,3,1,3,1
"33577","7364_5",459,7364,658,2,3,2,3,1,1,3,3,3,3,3
"33578","7365_1",459,7365,622,2,2,3,1,1,3,3,3,3,2,3
"33579","7365_2",459,7365,622,2,2,2,1,2,2,3,3,4,4,3
"33580","7365_3",459,7365,622,3,2,2,1,1,1,2,2,3,2,3
"33581","7365_4",459,7365,622,1,3,2,1,1,1,1,2,3,3,3
"33582","7365_5",459,7365,622,3,4,4,2,1,2,3,4,4,4,4
"33583","7366_2",459,7366,703,1,2,2,2,2,3,3,4,3,3,3
"33584","7366_3",459,7366,703,1,1,1,1,1,1,1,1,1,1,1
"33585","7366_4",459,7366,703,4,3,3,1,1,2,2,2,2,2,2
"33586","7367_3",459,7367,1546,1,3,3,1,1,3,1,1,2,2,3
"33587","7368_1",477,7368,139,3,1,1,1,1,1,2,1,2,4,1
"33588","7368_3",477,7368,139,1,1,2,1,1,1,1,2,1,1,1
"33589","7368_5",477,7368,139,1,1,1,1,1,1,1,1,1,1,3
"33590","7370_3",477,7370,150,1,1,1,1,1,1,1,1,1,1,1
"33591","7370_4",477,7370,150,1,1,1,1,1,1,1,1,1,1,1
"33592","7371_2",477,7371,99,2,2,3,3,2,1,3,3,4,2,2
"33593","7371_5",477,7371,99,1,1,2,1,1,1,3,2,3,2,4
"33594","7372_1",477,7372,153,2,2,2,1,1,1,1,1,1,1,2
"33595","7372_5",477,7372,153,1,1,1,1,1,1,1,1,1,1,4
"33596","7373_4",478,7373,187,2,1,1,1,1,1,1,1,2,2,2
"33597","7374_1",478,7374,169,1,3,2,3,3,2,4,4,3,3,3
"33598","7374_2",478,7374,169,1,2,3,1,1,2,3,1,3,3,1
"33599","7374_3",478,7374,169,3,3,2,2,2,2,2,2,3,3,4
"33600","7374_4",478,7374,169,2,2,2,3,2,2,3,2,2,3,2
"33601","7374_5",478,7374,169,3,4,4,2,3,2,2,2,2,2,2
"33602","7375_1",477,7375,166,1,2,2,2,3,3,2,2,2,2,4
"33603","7375_2",477,7375,166,1,1,1,1,1,1,1,1,1,1,4
