Estado,credito,acc_bien,acc_mal,aseq_bien,aseq_mal,cul_bien,cul_mal,habit_bien,habit_mal,satis_bien,satis_mal,serv_bien,serv_mal,ten_bien,ten_mal,ubi_bien,ubi_mal
Oaxaca,Ninguno,0.5744972617743702,0.4255027382256298,0.7156078860898138,0.2843921139101862,0.4350240963855422,0.5649759036144578,0.359369112814896,0.6406308871851041,0.43421905805038336,0.5657809419496167,0.7373373493975903,0.2626626506024096,0.7590810514786418,0.24091894852135817,0.43253559693318727,0.5674644030668127
Oaxaca,Otro,0.5976634871766678,0.40233651282333216,0.8258885620825202,0.17411143791747988,0.470656147777564,0.5293438522224361,0.510310893647434,0.489689106352566,0.5468704472360427,0.4531295527639572,0.7649523076500179,0.23504769234998213,1,0,0.520377140658072,0.47962285934192805
Puebla,Infonavit,0.5670079618084455,0.4329920381915545,0.7468160618100158,0.25318393818998414,0.3892963143265441,0.6107036856734559,0.8554389987279951,0.14456100127200489,0.6763611237613656,0.3236388762386344,0.9945979051178567,0.00540209488214325,0.9738375288556667,0.026162471144333295,0.8431900626580191,0.15680993734198087
Puebla,Ninguno,0.5289773762668186,0.47102262373318143,0.8047158724851956,0.19528412751480437,0.45007195916909043,0.5499280408309096,0.6552775557701497,0.3447224442298504,0.427300433476869,0.5726995665231309,0.895527913413677,0.10447208658632302,0.5985969755625801,0.40140302443741993,0.5798345010854857,0.4201654989145142
Puebla,Otro,0.6001527406177282,0.39984725938227184,0.7921599983598323,0.20784000164016772,0.5298561777941795,0.47014382220582057,0.7576293426002809,0.24237065739971914,0.6926376972045392,0.30736230279546084,0.9427735235927873,0.057226476407212644,0.9734959149573044,0.026504085042695615,0.6660054740597227,0.3339945259402774
Queretaro,Infonavit,0.3415893931999349,0.658410606800065,0.7356840735318041,0.26431592646819585,0.39669757605335937,0.6033024239466407,0.9237127867252318,0.07628721327476819,0.7479461525947617,0.25205384740523834,1,0,1,0,0.6885777615096795,0.31142223849032047
Queretaro,Ninguno,0.6045249655412201,0.39547503445877985,0.7708894711353392,0.22911052886466082,0.5151908374828741,0.4848091625171259,0.7339864979531692,0.26601350204683083,0.4508098330663554,0.5491901669336446,0.9305505540309529,0.06944944596904712,0.6220503077489828,0.3779496922510172,0.6208582202298908,0.3791417797701092
Queretaro,Otro,0.531892697466468,0.46810730253353205,0.7440263288623945,0.25597367113760555,0.6720317933432688,0.32796820665673126,0.850869349230005,0.14913065076999504,0.7833705911574764,0.2166294088425236,0.9698335817188276,0.03016641828117238,1,0,0.713338301043219,0.28666169895678095
Quintana Roo,Infonavit,0.33755989387399515,0.6624401061260048,0.7292915693184968,0.2707084306815032,0.2991723755593395,0.7008276244406605,0.9806597235971963,0.019340276402803627,0.6008791034728547,0.3991208965271453,1,0,0.9944877836296677,0.0055122163703322374,0.7467865204134162,0.25321347958658375
Quintana Roo,Ninguno,0.3888387824126268,0.6111612175873732,0.7834613670328517,0.2165386329671482,0.41811436511890093,0.5818856348810991,0.7857817047271964,0.21421829527280353,0.24515350934689703,0.7548464906531029,0.9275740017304214,0.07242599826957867,0.4482158307333316,0.5517841692666684,0.6656091869641593,0.3343908130358407
