X,Estado,Indice_Habitabilidad,Indice_Accesibilidad,Indice_Servicios,Indice_Ubicacion,,,,
180,02,66.06848531,51.89456008,77.92664979,0.15387768,,,,
181,02,64.85740605,50.89715228,77.92664979,0.149330384,,,,
182,02,66.06848531,22.89983362,77.92664979,0.15369229,,,,
183,02,62.43606065,23.51822674,77.92664979,0.156636476,,,,
184,02,66.06848531,23.51822674,77.92664979,18.48172909,,,,
185,02,66.06848531,51.97692914,77.92664979,0.147901831,,,,
186,02,69.23376247,21.90242582,77.92664979,18.47368537,,,,
187,02,64.1427094,22.89983362,77.92664979,0.149068913,,,,
188,02,69.00792021,23.51822674,77.92664979,0.151178884,,,,
189,02,62.43606065,23.51822674,77.92664979,0.148710722,,,,
190,02,66.06848531,22.98220268,77.92664979,0.135205124,,,,
191,02,66.06848531,23.51822674,77.92664979,0.13843874,,,,
192,02,61.47559201,23.51822674,77.92664979,0.153863765,,,,
193,02,64.85740605,23.51822674,77.92664979,0.15557306,,,,
194,02,76.41234971,52.51295321,77.92664979,0.156636476,,,,
195,02,73.91648114,23.51822674,77.92664979,0.155004184,,,,
196,02,66.06848531,23.51822674,77.92664979,0.152930811,,,,
197,02,61.47559201,37.06356434,77.92664979,0.152742848,,,,
198,02,66.06848531,52.51295321,77.92664979,0.151235431,,,,
199,02,66.06848531,23.51822674,77.92664979,0.147491707,,,,
200,02,62.43606065,23.51822674,77.92664979,0.156636476,,,,
201,02,64.1427094,23.51822674,77.92664979,31.21702805,,,,
202,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
203,02,66.06848531,23.51822674,77.92664979,31.22285713,,,,
204,02,64.85740605,23.51822674,77.92664979,49.91765061,,,,
205,02,57.84316735,21.90242582,77.92664979,49.91123831,,,,
206,02,64.85740605,37.44498357,77.92664979,49.96796731,,,,
207,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
208,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
209,01,66.06848531,23.51822674,69.8810839,49.99820787,,,,
210,01,64.85740605,23.51822674,77.92664979,0.101243173,,,,
211,01,64.1427094,23.51822674,77.92664979,31.27102726,,,,
212,01,66.06848531,22.89983362,77.92664979,18.52412195,,,,
