vid,EST_DIS,UPM_DIS,FACTOR
208_1,3,208,243
208_2,3,208,243
208_3,3,208,243
208_4,3,208,243
208_5,3,208,243
209_1,2,209,189
209_2,2,209,189
209_3,2,209,189
209_4,2,209,189
209_5,2,209,189
210_1,1,210,201
210_2,1,210,201
210_3,1,210,201
210_4,1,210,201
210_5,1,210,201
211_1,3,211,258
211_3,3,211,258
211_4,3,211,258
211_5,3,211,258
212_1,3,212,228
212_2,3,212,228
212_3,3,212,228
212_4,3,212,228
212_5,3,212,228
213_1,3,213,260
213_2,3,213,260
213_3,3,213,260
213_4,3,213,260
213_5,3,213,260
214_1,2,214,220
214_2,2,214,220
214_3,2,214,220
214_4,2,214,220
214_5,2,214,220
215_2,1,215,206
215_3,1,215,206
215_4,1,215,206
215_5,1,215,206
216_1,1,216,211
216_2,1,216,211
216_3,1,216,211
216_4,1,216,211
216_5,1,216,211
217_1,3,217,219
217_4,3,217,219
217_5,3,217,219
218_1,1,218,206
218_2,1,218,206
218_3,1,218,206
218_4,1,218,206
218_5,1,218,206
219_1,1,219,232
219_2,1,219,232
219_3,1,219,232
219_4,1,219,232
219_5,1,219,232
220_1,1,220,98
220_2,1,220,98
220_4,1,220,98
220_5,1,220,98
221_1,1,221,204
221_2,1,221,204
221_4,1,221,204
221_5,1,221,204
222_1,1,222,189
222_2,1,222,189
222_3,1,222,189
222_4,1,222,189
222_5,1,222,189
223_1,3,223,228
223_2,3,223,228
223_3,3,223,228
223_4,3,223,228
223_5,3,223,228
224_1,2,224,220
224_2,2,224,220
224_4,2,224,220
224_5,2,224,220
225_1,1,225,303
225_2,1,225,303
225_3,1,225,303
225_4,1,225,303
225_5,1,225,303
226_1,1,226,313
226_3,1,226,313
226_4,1,226,313
226_5,1,226,313
227_2,2,227,187
227_3,2,227,187
227_4,2,227,187
227_5,2,227,187
228_2,3,228,231
228_3,3,228,231
228_4,3,228,231
229_1,3,229,227
229_2,3,229,227
229_3,3,229,227
229_4,3,229,227
229_5,3,229,227
230_1,3,230,250
230_2,3,230,250
230_3,3,230,250
230_4,3,230,250
230_5,3,230,250
231_4,3,231,227
231_5,3,231,227
232_1,1,232,191
232_2,1,232,191
232_4,1,232,191
232_5,1,232,191
233_1,1,233,227
233_2,1,233,227
233_4,1,233,227
233_5,1,233,227
234_1,1,234,217
234_2,1,234,217
234_4,1,234,217
234_5,1,234,217
235_1,1,235,226
235_2,1,235,226
235_3,1,235,226
235_4,1,235,226
235_5,1,235,226
236_1,1,236,216
236_2,1,236,216
236_3,1,236,216
236_4,1,236,216
237_1,1,237,241
237_2,1,237,241
237_3,1,237,241
237_4,1,237,241
237_5,1,237,241
238_1,1,238,202
238_2,1,238,202
238_3,1,238,202
238_5,1,238,202
239_1,1,239,246
239_2,1,239,246
239_3,1,239,246
239_4,1,239,246
239_5,1,239,246
240_1,1,240,203
240_2,1,240,203
240_3,1,240,203
240_4,1,240,203
240_5,1,240,203
241_3,4,241,194
241_4,4,241,194
241_5,4,241,194
242_2,4,242,191
242_5,4,242,191
243_1,4,243,181
243_2,4,243,181
243_3,4,243,181
243_4,4,243,181
243_5,4,243,181
244_1,4,244,311
244_2,4,244,311
